file1,start1,end1,file2,start2,end2,classification,notes
10924700_0_1_18.java,1,18,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java,253,270,QS,"question is about springer. Author of answer says the problem faced by the question is caused by the fact its configuration is not activating the following code, then posts code from springer"
11187462_0_44_61.java,1,18,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,32,48,QS,author of answers says he copied from log4j and adapted a bit
11368428_1_1_27.java,1,27,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/demo/BarChartDemo1.java,29,55,QS,"answer mentions JFreeChart, author of answer suggests to use the following SO snippet with the solution he proposed"
11368428_1_1_27.java,1,27,jfreechart-1/jfreechart-1.0.13/swt/org/jfree/experimental/chart/swt/demo/SWTBarChartDemo1.java,19,45,QS,"answer mentions JFreeChart, author of answer suggests to use the following SO snippet with the solution he proposed"
12106623_0_1_16.java,1,16,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/WriterAppender.java,45,61,QS,author copied code from log4j to answer the question
12377779_0_1_37.java,1,37,netbeans-6.9.1-201007282301/kenai.ui/src/org/netbeans/modules/kenai/ui/treelist/TreeList.java,125,159,QS,author copied code from specific class on netbeans to answer the question
12427981_1_17_33.java,1,17,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,32,48,QS,MOTIVATION author of answer says he's copying and pasting from apache project.
12936580_0_63_197.java,1,135,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,443,578,QS,question is about JFreeChart. author of answer says he combined codes to achieve solution
12936580_0_63_197.java,1,135,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,596,731,QS,question is about JFreeChart. author of answer says he combined codes to achieve solution
13219118_0_12_27.java,1,16,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_EN.java,49,64,QS,SO copied code from web. web copies code from Qualitas. Q to S via web
13219118_0_12_27.java,1,16,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_FR.java,49,69,QS,author of answer says he copied from this link http://www.rgagnon.com/javadetails/java-0426.html. in the qualitas project
13524878_0_1_16.java,1,16,netbeans-6.9.1-201007282301/java.source/test/unit/data/jdk/JTable.java,1469,1484,QS,SO provides code to point to the problem the author of the question had.
14019840_0_1_18.java,1,18,struts2-2.2.1-all/struts-2.2.1/src/core/src/main/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapper.java,128,145,QS,SO provides code from struts to help answering the question
14940863_0_1_26.java,1,26,jstock-1.0.7c/jstock/src/org/yccheok/jstock/alert/GoogleMail.java,18,43,QS,SO says he copied from jstock
15110171_0_23_40.java,1,18,struts2-2.2.1-all/struts-2.2.1/src/xwork-core/src/main/java/com/opensymphony/xwork2/validator/validators/StringLengthFieldValidator.java,25,42,QS,SO says he based on struts code to provide solution
16860613_0_55_74.java,1,20,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,55,74,QS,DELETED FROM SO literal copy from eclipse
16928749_0_50_66.java,1,17,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapred/TextOutputFormat.java,46,63,QS,SO snippet extends class from Qualitas hadoop. SO question tags hadoop
16928749_0_50_66.java,1,17,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapreduce/lib/output/TextOutputFormat.java,50,67,QS,SO snippet extends class from Qualitas hadoop. SO question tags hadoop
18137301_0_3_15.java,1,13,antlr4-4.0/tool/test/org/antlr/v4/test/TestPerformance.java,559,570,QS,author of answer says ge copied code from antlr
21702608_0_1_36.java,1,36,hadoop-1/hadoop-1.0.0/src/examples/org/apache/hadoop/examples/DBCountPageView.java,275,306,QS,SO answer copies code from question and adds solution. SO questions copies code from hadoop example
21734562_0_1_70.java,1,70,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/catalina/authenticator/BasicAuthenticator.java,23,87,QS,SO answer says he copied from tomcat
21787713_0_1_14.java,1,14,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.web.servlet/src/main/java/org/springframework/web/servlet/DispatcherServlet.java,119,132,QS,SO gives example from spring to illustrate answer
21998949_0_10_89.java,1,80,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/plot/SpiderWebPlot.java,502,578,QS,SO says he copied from jfreechart and altered a bit
22064171_0_56_103.java,1,48,iReport-3/iReport-3.7.5-src/ireport-designer/src/com/jaspersoft/ireport/designer/sheet/editors/box/ShapeStroke.java,23,80,QS,SO says he copied from the web. website is owned by the same developer as ireport.
22230019_0_1_19.java,1,19,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/swt/widgets/Widget.java,424,442,QS,SO copies code from Eclipse to help in the answer
23520731_0_1_75.java,1,75,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/tool/hbm2ddl/SchemaUpdate.java,115,190,QS,SO copies code from hibernate to help the answer
23967852_0_1_20.java,1,20,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/dialect/pagination/SQLServer2005LimitHandler.java,43,62,QS,SO copies code from hibernate to help the answer
24404964_0_1_36.java,1,36,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/catalina/connector/CoyoteAdapter.java,543,578,QS,SO copies from tomcat to help the answer
24924255_0_1_32.java,1,32,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/criterion/Example.java,218,247,QS,stackoverflow answer mentions the code in this link: http://grepcode.com/file/repo1.maven.org/maven2/org.hibernate/hibernate/3.2.7.ga/org/hibernate/criterion/Example.java
25056629_1_1_14.java,1,14,iText-src-5/src/core/com/itextpdf/text/pdf/PdfWriter.java,538,551,QS,question is about iText. Author of answer posts the code from iText that is an example of the shortcome pointed by the question
2513183_0_45_55.java,1,11,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/ui/actions/GenerateToStringAction.java,45,55,QS,SO copies code from Eclipse to help answer
2513183_0_106_159.java,1,54,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/ui/actions/GenerateToStringAction.java,113,166,QS,author says he copied from eclipse (outdated code)
25719073_1_1_20.java,1,20,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/swt/widgets/Widget.java,309,328,QS,SO says he copied from eclipse to answer question
3629882_0_1_26.java,1,26,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,1484,1502,QS,"author of question copies from jstock, answer edits code to find solution"
